Epoch 1, Train Loss: 0.4476, Val Loss: 0.4514, Val IoU: 0.8327
Epoch 2, Train Loss: 0.4352, Val Loss: 0.4305, Val IoU: 0.8880
Epoch 3, Train Loss: 0.4296, Val Loss: 0.4327, Val IoU: 0.8737
Epoch 4, Train Loss: 0.4277, Val Loss: 0.4266, Val IoU: 0.9010
Epoch 5, Train Loss: 0.4252, Val Loss: 0.4304, Val IoU: 0.8829
Epoch 6, Train Loss: 0.4247, Val Loss: 0.4222, Val IoU: 0.9077
Epoch 7, Train Loss: 0.4216, Val Loss: 0.4315, Val IoU: 0.8842
Epoch 8, Train Loss: 0.4215, Val Loss: 0.4253, Val IoU: 0.8981
Epoch 9, Train Loss: 0.4207, Val Loss: 0.4244, Val IoU: 0.8967
Epoch 10, Train Loss: 0.4202, Val Loss: 0.4258, Val IoU: 0.9031
Epoch 11, Train Loss: 0.4199, Val Loss: 0.4271, Val IoU: 0.8891
Epoch 12, Train Loss: 0.4192, Val Loss: 0.4227, Val IoU: 0.9011
Epoch 13, Train Loss: 0.4151, Val Loss: 0.4236, Val IoU: 0.9023
Epoch 14, Train Loss: 0.4146, Val Loss: 0.4189, Val IoU: 0.9196
Epoch 15, Train Loss: 0.4135, Val Loss: 0.4195, Val IoU: 0.9146
Epoch 16, Train Loss: 0.4134, Val Loss: 0.4175, Val IoU: 0.9227
Epoch 17, Train Loss: 0.4130, Val Loss: 0.4174, Val IoU: 0.9242
Epoch 18, Train Loss: 0.4129, Val Loss: 0.4188, Val IoU: 0.9204
Epoch 19, Train Loss: 0.4128, Val Loss: 0.4180, Val IoU: 0.9204
Epoch 20, Train Loss: 0.4124, Val Loss: 0.4189, Val IoU: 0.9167
